# 3DO audio durations for Sherlock Serrated Scalpel talkie mode
# Format: filename duration_ms (space or tab separated)
# filename is without .stream extension
cmb05afa 6980
cmb05afb 4410
cmb05aga 9890
cmb05agb 16060
cmb05agc 8120
cmb05agd 3240
cmb05age 2910
cn103aaa 3200
cn103aab 11130
cn103aba 4510
cn103abb 10330
cn103zaa 6080
cn103zab 3590
cn103zba 5520
cn103zbb 5240
cn249aaa 4180
cn249aab 7380
cn249aac 4480
cn249aad 4480
cn249aae 9280
cn249aaf 10780
cn249aba 1990
cn249abb 2790
cn249aca 3740
cn249acb 7890
cn249zaa 6770
cro15aaa 4580
cro15aab 6220
cro15aac 2980
cro15aad 19190
cro15aba 2280
cro15abb 3410
cro15aca 3670
cro15acb 4720
cro15acc 4610
cro15acd 12750
cro15ada 3480
cro15adb 2800
cro15afa 2980
cro15afb 7240
cro15aia 8520
cro15aib 5590
cro15aic 2390
cro15aid 3010
cro15aja 4550
cro15ajb 17260
cro15ajc 11650
cro15ajd 6910
cro15aje 1710
cro15akb 17590
cro15akc 9720
cro15akd 5820
cro15ake 1550
cro15alb 17260
cro15alc 6760
cro15ald 5820
cro15ale 1710
cro15ama 3740
cro15amb 3810
cro15amc 5610
cro15amd 6910
cro15ame 1670
cro15ana 3740
cro15saa 8760
cro15taa 6950
cro15tab 3200
cro15uaa 12090
cro15waa 7020
cro15xaa 9890
cro15yaa 8250
cro15zaa 6390
dga44aaa 5590
dga44aab 8950
dga44aac 1620
dga44aad 8880
dga44aae 4510
dga44aaf 11020
dga44aba 4110
dga44abb 8150
dga44yaa 3640
dga44zaa 4320
dnd43aaa 1920
dnd43aab 6320
dnd43aba 2910
dnd43abb 3740
dnd43abc 2020
dnd43aca 4280
dnd43acb 3310
dnd43acc 2720
dnd43ada 4280
dnd43adb 5890
dnd43adc 2870
dnd43aea 2910
dnd43aeb 3640
dnd43aec 2870
dnd43afa 4280
dnd43afb 4280
dnd43afc 2870
dnd43aga 4010
dnd43agb 5890
dnd43agc 2870
dnd43aha 2610
dnd43ahb 7980
dnd43aia 2720
dnd43aib 5310
dnd43aja 3740
dnd43ajb 3010
dnd43ajc 9020
dnd43ajd 5680
dnd43aje 11790
dnd43ajf 5990
dnd43ajg 10590
dnd43ajh 12050
dnd43aji 6950
dnd43ajj 4140
dor10aaa 6720
dor10aab 3920
dor10aac 9160
dor10aad 3780
dor10aae 7310
dor10aaf 5750
dor10aag 8760
dor10aah 3270
dor10aai 15520
dor10aaj 5090
dor10aak 8290
dor10aal 13430
dor10aam 2110
dor10aan 2610
dor10aao 13390
dor10aap 1580
dor10aaq 10360
dor10aar 2910
dor10aas 3850
dor10baa 5240
dor10bab 5680
dor10bac 20690
dor10bad 26980
dor10bae 4350
dor10baf 7850
dor10bag 10220
dor12aba 6760
drt19aaa 3410
drt19aab 2040
drt19aac 3990
drt19aad 12380
drt19aae 2320
drt19aba 4350
drt19abb 9020
drt19aca 6180
drt19acb 10920
drt19ada 3380
drt19adb 2980
drt19aea 3270
drt19aeb 4280
est29zaa 19520
est29zab 9930
eue22aaa 7450
eue22aab 5350
eue22aac 5380
eue22aad 19370
eue22aae 6040
eue22aaf 6410
eue22aba 4480
eue22abb 10330
eue22yaa 14260
eue22yab 11320
eue22yac 8760
eue22yad 8520
eue22yae 5920
eue22zaa 12090
fed26aaa 4910
fed26aab 14090
fed26aba 2940
fed26abb 11060
fed26abc 2940
fed26abd 12490
fed26abe 6180
fed26abf 5990
fed26aca 10380
fed26acb 14090
fed26ada 8150
fed26adb 7090
fed26baa 2140
fed26bab 7090
fed26caa 3270
fed26cab 4610
fed26zaa 16600
fed50aaa 9610
fed50aab 17120
fed50aba 9530
fed50abb 13150
fed50maa 5680
fed50yaa 6950
gar01aaa 3780
gar01aab 7850
gar01aba 3990
gar01abb 8010
gar01aca 3880
gar01acb 6580
gar01ada 6650
gar01adb 3920
gar01aea 3880
gar01aeb 5240
gar01aec 3480
gar01afa 2750
gar01afb 2580
gar01aga 2390
gar01agb 4080
geg15aaa 1880
geg15aab 2180
geg15aba 5590
geg15abb 4410
geg15abc 3670
geg15abd 16300
geg15abe 3310
geg15abf 17800
geg15aca 7680
geg15acb 6690
geg15acc 10010
geg15acd 2800
geg15ace 3740
geg15acf 4040
geg15acg 10550
geg15ach 3590
geg15aci 9720
geg15acj 9180
geg15ack 3670
geg15acl 7820
geg15zaa 2650
geg47aaa 2650
geg47aab 12050
geg47aba 4180
geg47abb 9320
geg47abc 4210
geg47abd 5750
geg47abe 5520
geg47abf 4810
geg47abg 14520
geg47abh 19440
geg47abi 11930
geg47aca 2650
geg47acb 4840
geg47ada 2510
geg47adb 3340
geg47aea 4790
geg47aeb 8590
geg47aec 4140
geg47aed 4880
geg47aee 4810
geg47aef 4410
geg47aeg 13500
geg47aeh 20670
geg47aei 11720
geg47yaa 7380
geg47zaa 10850
gor01aaa 5890
gor01aab 11530
gor01aac 26770
gor01aba 8990
gor01abb 7380
gor01abc 2390
gor01abd 10360
gor01abe 5020
gor01abf 16600
gor01abg 10450
gor01abh 11390
gor01abi 2280
gor01abj 26440
gor01abk 1880
gor01abl 9490
gor01abm 1990
gor01abn 13290
gor01abo 4440
gor01aca 3200
gor01acb 5240
gor01ada 5050
gor01adb 2180
gor01adc 12780
gor01add 18670
gor01aea 3550
gor01aeb 4790
gor01aec 10010
grl20aaa 4610
grl20aab 7560
grl20aba 2390
grl20aca 5050
grl20bab 13030
grl20bbb 21490
grl20bca 2610
grl20bcb 7850
gte01baa 7750
gte01bba 8050
hll45aaa 7090
hll45aab 5890
hll45aba 2350
hll45abb 5960
hll45abc 3590
hll45abd 29140
hll45abe 5590
hll45abf 16200
hll45abg 2870
hll45acb 5750
hll45zaa 3550
hnr09aaa 6980
hnr09aab 8760
hnr09aba 8080
hnr09abb 16860
hnr09abc 2940
hnr09abd 19330
hnr09abe 2510
hnr09abf 21070
hnr09aca 4040
hnr09acb 3450
hnr09ada 3380
hnr09adb 9460
hnr09baa 2280
hnr09bab 11350
hnr09bba 3520
hnr09bbb 13220
hnr09bca 1670
hnr09bcb 11980
hnr09caa 8780
hnr09cab 2650
hnr09cba 3590
hnr09cbb 9530
hnr09daa 2580
hnr09dab 14660
hnr09dba 1950
hnr09dbb 7020
hnr09dca 2980
hnr09dcb 6880
hnr09saa 13030
hnr09xaa 4410
hnr09xab 8810
hnr09yaa 9390
hnr09zaa 14960
hnr09zab 5020
hnr09zac 12490
hnt01aaa 10690
hnt01aab 4910
hnt01aba 2140
hnt01abb 2140
hnt01aca 10290
hnt01acb 2790
hnt01ada 11280
hnt01adb 6440
hnt01aea 6910
hnt01aeb 5420
hnt01afa 7520
hnt01afb 6080
hnt01afc 8010
hnt01afd 13720
isp48aaa 7210
isp48aab 3990
isp48aac 8590
isp48aad 23130
isp48aae 1780
isp48aba 2180
isp48abb 2940
jme25aaa 4440
jme25aab 6620
jme25aac 5780
jme25aad 6110
jme25aae 7210
jme25yaa 2110
jme25yab 8250
jme25yac 2720
jme25yad 19070
jme25yae 8620
jme25zaa 2210
jme25zab 3150
jna39aaa 4320
jna39aab 12750
jna39aba 3710
jna39abb 5020
jna39abc 5420
jna39aca 9790
jna39acb 20760
jna39acc 6810
jna39acd 3200
jre48aaa 4210
jre48aab 11580
jre48aba 7610
jre48abb 4280
jre48aca 2070
jre48acb 2510
jre48ada 4010
jre48adb 5710
jre48aea 3520
jre48aeb 16530
jre48aec 1640
jre48afa 4480
jre48afb 7750
jre48afc 1780
jre48aga 3920
jre48agb 2950
jre48agc 3270
jre48baa 2350
jre48bab 5490
jre48bba 9960
jre48bbb 5190
jre48bbc 7520
jre48bbd 3480
jre48bbe 4320
kng07aaa 9530
kng07aab 5750
kng07aac 5820
kng07aad 2250
kng07aae 2650
kng07aaf 5280
kng07aba 6290
kng07abb 5120
kng07aca 3340
kng07acb 4980
kng07ada 5750
kng07adb 6010
kng07adc 3310
kng07add 2390
kng07aea 5890
kng07aeb 4350
kng07aec 17620
kng07aed 44580
kng07aee 7710
kng07aef 5150
kng07afa 2440
kng07afb 6810
kng07aga 7420
kng07agb 3080
kng07agc 3710
kng07agd 3480
kng07age 3310
kng07zaa 3050
kng07zab 6110
kng07zac 3240
kng07zba 4910
kng07zbb 4320
kng07zbc 2650
ldb06zaa 1710
ldb16zaa 6950
ldb16zab 11720
ldb16zac 5640
ldb16zad 2870
